序号,类别,标题,起始页,结束页,页数,相对路径
55,章标题页,3 Characterizing Running Times,85,85,1,Part_I_Foundations/3_Characterizing_Running_Times/3_Characterizing_Running_Times_标题页.pdf
56,小节,"3.1 O-notation, Ω-notation, and Θ-notation",86,91,6,"Part_I_Foundations/3_Characterizing_Running_Times/3.1_O-notation,_Ω-notation,_and_Θ-notation.pdf"
57,小节,3.2 Asymptotic notation: formal definitions,91,103,13,Part_I_Foundations/3_Characterizing_Running_Times/3.2_Asymptotic_notation__formal_definitions.pdf
58,小节,3.3 Standard notations and common functions,103,112,10,Part_I_Foundations/3_Characterizing_Running_Times/3.3_Standard_notations_and_common_functions.pdf
59,章标题页,4 Divide-and-Conquer,119,124,6,Part_I_Foundations/4_Divide-and-Conquer/4_Divide-and-Conquer_标题页.pdf
60,小节,4.1 Multiplying square matrices,125,131,7,Part_I_Foundations/4_Divide-and-Conquer/4.1_Multiplying_square_matrices.pdf
61,小节,4.2 Strassen’s algorithm for matrix multiplication,131,138,8,Part_I_Foundations/4_Divide-and-Conquer/4.2_Strassen’s_algorithm_for_matrix_multiplication.pdf
62,小节,4.3 The substitution method for solving recurrences,138,144,7,Part_I_Foundations/4_Divide-and-Conquer/4.3_The_substitution_method_for_solving_recurrences.pdf
63,小节,4.4 The recursion-tree method for solving recurrences,144,153,10,Part_I_Foundations/4_Divide-and-Conquer/4.4_The_recursion-tree_method_for_solving_recurrences.pdf
64,小节,4.5 The master method for solving recurrences,153,160,8,Part_I_Foundations/4_Divide-and-Conquer/4.5_The_master_method_for_solving_recurrences.pdf
65,小节,★ 4.6 Proof of the continuous master theorem,160,170,11,Part_I_Foundations/4_Divide-and-Conquer/4.6_Proof_of_the_continuous_master_theorem.pdf
66,小节,★ 4.7 Akra-Bazzi recurrences,170,175,6,Part_I_Foundations/4_Divide-and-Conquer/4.7_Akra-Bazzi_recurrences.pdf
67,小节,5.1 The hiring problem,184,189,6,Part_I_Foundations/5_Probabilistic_Analysis_and_Randomized_Algorithms/5.1_The_hiring_problem.pdf
68,小节,5.2 Indicator random variables,189,194,6,Part_I_Foundations/5_Probabilistic_Analysis_and_Randomized_Algorithms/5.2_Indicator_random_variables.pdf
69,小节,5.3 Randomized algorithms,194,202,9,Part_I_Foundations/5_Probabilistic_Analysis_and_Randomized_Algorithms/5.3_Randomized_algorithms.pdf
70,小节,★ 5.4 Probabilistic analysis and further uses of indicator random variables,202,219,18,Part_I_Foundations/5_Probabilistic_Analysis_and_Randomized_Algorithms/5.4_Probabilistic_analysis_and_further_uses_of_indicator_random_variables.pdf
71,篇引言,Introduction,224,228,5,Part_II_Sorting_and_Order_Statistics/Introduction.pdf
72,小节,6.1 Heaps,229,233,5,Part_II_Sorting_and_Order_Statistics/6_Heapsort/6.1_Heaps.pdf
73,小节,6.2 Maintaining the heap property,233,236,4,Part_II_Sorting_and_Order_Statistics/6_Heapsort/6.2_Maintaining_the_heap_property.pdf
74,小节,6.3 Building a heap,236,240,5,Part_II_Sorting_and_Order_Statistics/6_Heapsort/6.3_Building_a_heap.pdf
75,小节,6.4 The heapsort algorithm,240,243,4,Part_II_Sorting_and_Order_Statistics/6_Heapsort/6.4_The_heapsort_algorithm.pdf
76,小节,6.5 Priority queues,243,251,9,Part_II_Sorting_and_Order_Statistics/6_Heapsort/6.5_Priority_queues.pdf
77,小节,7.1 Description of quicksort,255,261,7,Part_II_Sorting_and_Order_Statistics/7_Quicksort/7.1_Description_of_quicksort.pdf
78,小节,7.2 Performance of quicksort,261,267,7,Part_II_Sorting_and_Order_Statistics/7_Quicksort/7.2_Performance_of_quicksort.pdf
79,小节,7.3 A randomized version of quicksort,267,268,2,Part_II_Sorting_and_Order_Statistics/7_Quicksort/7.3_A_randomized_version_of_quicksort.pdf
80,小节,7.4 Analysis of quicksort,268,276,9,Part_II_Sorting_and_Order_Statistics/7_Quicksort/7.4_Analysis_of_quicksort.pdf
81,小节,8.1 Lower bounds for sorting,284,288,5,Part_II_Sorting_and_Order_Statistics/8_Sorting_in_Linear_Time/8.1_Lower_bounds_for_sorting.pdf
